id,label,combined_mol_SMILES,A_smiles,B_smiles,C_smiles,expt_Hela,expt_Raw
0,A1B1C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCC)OCCCCCC=O,CCCCCCCCCCCC[N+]#[C-],4.05668942,1.54475317
1,A1B1C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCC)OCCCCCC=O,CCCCCCCCCCCCCC[N+]#[C-],3.95155437,0.299722919
2,A1B1C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCC)OCCCCCC=O,CCCCCCCCCCCCCCCC[N+]#[C-],2.56157952,2.586827629
3,A1B1C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCC)OCCCCCC=O,CCCCCCCCCCCCCCCCCC[N+]#[C-],8.61631594,2.833508416
4,A1B1C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCC)OCCCCCC=O,CCCCCCCC/C=C\CCCCCCCC[N+]#[C-],9.6337035,5.236849965
5,A1B2C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CC(CCC(OCCCCCC=O)=O)CCCCC,CCCCCCCCCCCC[N+]#[C-],3.3817906,0.657193292
6,A1B2C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CC(CCC(OCCCCCC=O)=O)CCCCC,CCCCCCCCCCCCCC[N+]#[C-],3.27664559,-0.557358177
7,A1B2C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CC(CCC(OCCCCCC=O)=O)CCCCC,CCCCCCCCCCCCCCCC[N+]#[C-],3.52577979,2.185695532
8,A1B2C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CC(CCC(OCCCCCC=O)=O)CCCCC,CCCCCCCCCCCCCCCCCC[N+]#[C-],8.21741548,4.498575315
9,A1B2C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CC(CCC(OCCCCCC=O)=O)CCCCC,CCCCCCCC/C=C\CCCCCCCC[N+]#[C-],8.60576547,5.157794104
10,A1B3C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCCC)OCCCCCC=O,CCCCCCCCCCCC[N+]#[C-],2.37490674,0.229950855
11,A1B3C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCCC)OCCCCCC=O,CCCCCCCCCCCCCC[N+]#[C-],5.12108889,-0.169736806
12,A1B3C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,O=C(CCCCCCCCC)OCCCCCC=O,CCCCCCCCCCCCCCCC[N+]#[C-],0.95693423,0.716754488
